tovar_usluga,id_indicator,period,territory,territory.ccube.0,territory.ccube.1,territory.ccube.2,territory.ccube.3,territory.ccube.4,territory.ccube.5,territory.ccube.6,territory.ccube.7,value
1001,1307,2021/3/29,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,195.98
1001,1307,2021/4/5,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,195.24
1001,1307,2021/4/12,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,194.9
1001,1307,2021/4/19,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,195.8
1001,1307,2021/4/26,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,196.08
1001,1307,2021/5/4,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,195.86
1001,1307,2021/5/11,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,194.65
1001,1307,2021/5/17,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,193.76
1001,1307,2021/5/24,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,194.79
1001,1307,2021/5/31,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,193.65
1001,1307,2021/6/7,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,195.47
1001,1307,2021/6/15,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,196.64
1001,1307,2021/6/21,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,197.81
1001,1307,2021/6/28,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,198.5
1001,1307,2021/7/5,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,198.3
1001,1307,2021/7/12,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,196.78
1001,1307,2021/7/19,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,200.28
1001,1307,2021/7/26,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,200.1
1001,1307,2021/8/2,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,200.66
1001,1307,2021/8/9,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203
1001,1307,2021/8/16,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203
1001,1307,2021/8/23,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,202.14
1001,1307,2021/8/30,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,202.92
1001,1307,2021/9/6,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203.14
1001,1307,2021/9/13,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203.77
1001,1307,2021/9/20,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203.78
1001,1307,2021/9/27,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,203.78
1001,1307,2021/10/4,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,204.47
1001,1307,2021/10/11,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,205.67
1001,1307,2021/10/18,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,204.96
1001,1307,2021/10/25,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,214.83
1001,1307,2021/11/1,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,217.81
1001,1307,2021/11/8,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,218.32
1001,1307,2021/11/15,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,219.81
1001,1307,2021/11/22,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,220.8
1001,1307,2021/11/29,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,219.53
1001,1307,2021/12/20,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,225.5
